program,experiment,simulator,win_count
grep,experiment_0,depolarizing_05,101.0
grep,experiment_1,ideal,138.0
grep,experiment_1,sampling_noise,100.0
grep,experiment_1,fake_brisbane,98.0
grep,experiment_1,depolarizing_01,101.0
grep,experiment_1,depolarizing_02,94.0
grep,experiment_1,depolarizing_05,94.0
grep,experiment_2,ideal,138.0
grep,experiment_2,sampling_noise,96.0
grep,experiment_2,fake_brisbane,95.0
grep,experiment_2,depolarizing_01,98.0
grep,experiment_2,depolarizing_02,100.0
grep,experiment_2,depolarizing_05,93.0
grep,experiment_3,ideal,139.0
grep,experiment_3,sampling_noise,95.0
grep,experiment_3,fake_brisbane,95.0
grep,experiment_3,depolarizing_01,96.0
grep,experiment_3,depolarizing_02,98.0
grep,experiment_3,depolarizing_05,96.0
grep,experiment_4,ideal,138.0
grep,experiment_4,sampling_noise,97.0
grep,experiment_4,fake_brisbane,99.0
grep,experiment_4,depolarizing_01,98.0
grep,experiment_4,depolarizing_02,96.0
grep,experiment_4,depolarizing_05,92.0
grep,experiment_5,ideal,138.0
grep,experiment_5,sampling_noise,95.0
grep,experiment_5,fake_brisbane,100.0
grep,experiment_5,depolarizing_01,100.0
grep,experiment_5,depolarizing_02,98.0
grep,experiment_5,depolarizing_05,96.0
grep,experiment_6,ideal,137.0
grep,experiment_6,sampling_noise,96.0
grep,experiment_6,fake_brisbane,101.0
grep,experiment_6,depolarizing_01,97.0
grep,experiment_6,depolarizing_02,99.0
grep,experiment_6,depolarizing_05,95.0
grep,experiment_7,ideal,138.0
grep,experiment_7,sampling_noise,97.0
grep,experiment_7,fake_brisbane,96.0
grep,experiment_7,depolarizing_01,99.0
grep,experiment_7,depolarizing_02,91.0
grep,experiment_7,depolarizing_05,94.0
grep,experiment_8,ideal,138.0
grep,experiment_8,sampling_noise,95.0
grep,experiment_8,fake_brisbane,108.0
grep,experiment_8,depolarizing_01,100.0
grep,experiment_8,depolarizing_02,96.0
grep,experiment_8,depolarizing_05,95.0
grep,experiment_9,ideal,138.0
grep,experiment_9,sampling_noise,97.0
grep,experiment_9,fake_brisbane,92.0
grep,experiment_9,depolarizing_01,98.0
grep,experiment_9,depolarizing_02,93.0
grep,experiment_9,depolarizing_05,96.0
gzip,experiment_0,ideal,61.0
gzip,experiment_0,sampling_noise,47.0
gzip,experiment_0,fake_brisbane,47.0
gzip,experiment_0,depolarizing_01,47.0
gzip,experiment_0,depolarizing_02,48.0
gzip,experiment_0,depolarizing_05,47.0
gzip,experiment_1,ideal,61.0
gzip,experiment_1,sampling_noise,49.0
gzip,experiment_1,fake_brisbane,49.0
gzip,experiment_1,depolarizing_01,45.0
gzip,experiment_1,depolarizing_02,49.0
gzip,experiment_1,depolarizing_05,46.0
gzip,experiment_2,ideal,60.0
gzip,experiment_2,sampling_noise,50.0
gzip,experiment_2,fake_brisbane,49.0
gzip,experiment_2,depolarizing_01,49.0
gzip,experiment_2,depolarizing_02,47.0
gzip,experiment_2,depolarizing_05,48.0
gzip,experiment_3,ideal,60.0
gzip,experiment_3,sampling_noise,47.0
gzip,experiment_3,fake_brisbane,49.0
gzip,experiment_3,depolarizing_01,48.0
gzip,experiment_3,depolarizing_02,49.0
gzip,experiment_3,depolarizing_05,43.0
gzip,experiment_4,ideal,60.0
gzip,experiment_4,sampling_noise,49.0
gzip,experiment_4,fake_brisbane,47.0
gzip,experiment_4,depolarizing_01,47.0
gzip,experiment_4,depolarizing_02,48.0
gzip,experiment_4,depolarizing_05,49.0
gzip,experiment_5,ideal,61.0
gzip,experiment_5,sampling_noise,51.0
gzip,experiment_5,fake_brisbane,47.0
gzip,experiment_5,depolarizing_01,46.0
gzip,experiment_5,depolarizing_02,51.0
gzip,experiment_5,depolarizing_05,47.0
