dataset,sub_suite_id,sampler,best_of_iter_AR,median_of_iter_AR
elevator,125,Sampling Noise Only,1.0,1.0
elevator,125,Statevector Simulator,1.0,1.0
elevator,126,Fake Brisbane Backend,1.0,1.0
elevator,126,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,126,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,126,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,126,Sampling Noise Only,1.0,1.0
elevator,126,Statevector Simulator,1.0,1.0
elevator,127,Fake Brisbane Backend,1.0,1.0
elevator,127,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,127,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,127,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,127,Sampling Noise Only,1.0,1.0
elevator,127,Statevector Simulator,1.0,1.0
elevator,128,Fake Brisbane Backend,1.0,1.0
elevator,128,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,128,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,128,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,128,Sampling Noise Only,1.0,1.0
elevator,128,Statevector Simulator,1.0,1.0
elevator,129,Fake Brisbane Backend,1.0,1.0
elevator,129,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,129,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,129,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,129,Sampling Noise Only,1.0,1.0
elevator,129,Statevector Simulator,1.0,1.0
elevator,13,Fake Brisbane Backend,1.0,1.0
elevator,13,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,13,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,13,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,13,Sampling Noise Only,1.0,1.0
elevator,13,Statevector Simulator,1.0,1.0
elevator,130,Fake Brisbane Backend,1.0,1.0
elevator,130,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,130,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,130,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,130,Sampling Noise Only,1.0,1.0
elevator,130,Statevector Simulator,1.0,1.0
elevator,131,Fake Brisbane Backend,1.0,1.0
elevator,131,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,131,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,131,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,131,Sampling Noise Only,1.0,1.0
elevator,131,Statevector Simulator,1.0,1.0
elevator,132,Fake Brisbane Backend,1.0,1.0
elevator,132,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,132,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,132,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,132,Sampling Noise Only,1.0,1.0
elevator,132,Statevector Simulator,1.0,1.0
elevator,133,Fake Brisbane Backend,1.0,1.0
elevator,133,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,133,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,133,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,133,Sampling Noise Only,1.0,1.0
elevator,133,Statevector Simulator,1.0,1.0
elevator,134,Fake Brisbane Backend,1.0,1.0
elevator,134,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,134,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,134,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,134,Sampling Noise Only,1.0,1.0
elevator,134,Statevector Simulator,1.0,1.0
elevator,135,Fake Brisbane Backend,1.0,1.0
elevator,135,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,135,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,135,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,135,Sampling Noise Only,1.0,1.0
elevator,135,Statevector Simulator,1.0,1.0
elevator,136,Fake Brisbane Backend,1.0,1.0
elevator,136,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,136,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,136,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,136,Sampling Noise Only,1.0,1.0
elevator,136,Statevector Simulator,1.0,1.0
elevator,137,Fake Brisbane Backend,1.0,1.0
elevator,137,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,137,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,137,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,137,Sampling Noise Only,1.0,1.0
elevator,137,Statevector Simulator,1.0,1.0
elevator,138,Fake Brisbane Backend,1.0,1.0
elevator,138,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,138,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,138,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,138,Sampling Noise Only,1.0,1.0
elevator,138,Statevector Simulator,1.0,1.0
elevator,139,Fake Brisbane Backend,1.0,1.0
elevator,139,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,139,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,139,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,139,Sampling Noise Only,1.0,1.0
elevator,139,Statevector Simulator,1.0,1.0
elevator,14,Fake Brisbane Backend,1.0,1.0
elevator,14,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,14,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,14,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,14,Sampling Noise Only,1.0,1.0
elevator,14,Statevector Simulator,1.0,1.0
elevator,140,Fake Brisbane Backend,1.0,1.0
elevator,140,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,140,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,140,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,140,Sampling Noise Only,1.0,1.0
elevator,140,Statevector Simulator,1.0,1.0
elevator,141,Fake Brisbane Backend,1.0,1.0
elevator,141,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,141,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,141,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,141,Sampling Noise Only,1.0,1.0
elevator,141,Statevector Simulator,1.0,1.0
elevator,142,Fake Brisbane Backend,1.0,1.0
elevator,142,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,142,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,142,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,142,Sampling Noise Only,1.0,1.0
elevator,142,Statevector Simulator,1.0,1.0
elevator,143,Fake Brisbane Backend,1.0,1.0
elevator,143,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,143,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,143,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,143,Sampling Noise Only,1.0,1.0
elevator,143,Statevector Simulator,1.0,1.0
elevator,144,Fake Brisbane Backend,1.0,1.0
elevator,144,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,144,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,144,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,144,Sampling Noise Only,1.0,1.0
elevator,144,Statevector Simulator,1.0,1.0
elevator,145,Fake Brisbane Backend,1.0,1.0
elevator,145,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,145,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,145,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,145,Sampling Noise Only,1.0,1.0
elevator,145,Statevector Simulator,1.0,1.0
elevator,146,Fake Brisbane Backend,1.0,1.0
elevator,146,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,146,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,146,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,146,Sampling Noise Only,1.0,1.0
elevator,146,Statevector Simulator,1.0,1.0
elevator,147,Fake Brisbane Backend,1.0,1.0
elevator,147,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,147,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,147,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,147,Sampling Noise Only,1.0,1.0
elevator,147,Statevector Simulator,1.0,1.0
elevator,148,Fake Brisbane Backend,1.0,1.0
elevator,148,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,148,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,148,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,148,Sampling Noise Only,1.0,1.0
elevator,148,Statevector Simulator,1.0,1.0
elevator,149,Fake Brisbane Backend,1.0,1.0
elevator,149,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,149,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,149,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,149,Sampling Noise Only,1.0,1.0
elevator,149,Statevector Simulator,1.0,1.0
elevator,15,Fake Brisbane Backend,1.0,1.0
elevator,15,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,15,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,15,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,15,Sampling Noise Only,1.0,1.0
elevator,15,Statevector Simulator,1.0,1.0
elevator,150,Fake Brisbane Backend,1.0,1.0
elevator,150,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,150,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,150,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,150,Sampling Noise Only,1.0,1.0
elevator,150,Statevector Simulator,1.0,1.0
elevator,151,Fake Brisbane Backend,1.0,1.0
elevator,151,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,151,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,151,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,151,Sampling Noise Only,1.0,1.0
elevator,151,Statevector Simulator,1.0,1.0
elevator,152,Fake Brisbane Backend,1.0,1.0
elevator,152,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,152,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,152,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,152,Sampling Noise Only,1.0,1.0
elevator,152,Statevector Simulator,1.0,1.0
elevator,153,Fake Brisbane Backend,1.0,1.0
elevator,153,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,153,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,153,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,153,Sampling Noise Only,1.0,1.0
elevator,153,Statevector Simulator,1.0,1.0
elevator,154,Fake Brisbane Backend,1.0,1.0
elevator,154,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,154,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,154,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,154,Sampling Noise Only,1.0,1.0
elevator,154,Statevector Simulator,1.0,1.0
elevator,155,Fake Brisbane Backend,1.0,1.0
elevator,155,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,155,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,155,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,155,Sampling Noise Only,1.0,1.0
elevator,155,Statevector Simulator,1.0,1.0
elevator,156,Fake Brisbane Backend,1.0,1.0
elevator,156,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,156,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,156,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,156,Sampling Noise Only,1.0,1.0
elevator,156,Statevector Simulator,1.0,1.0
elevator,157,Fake Brisbane Backend,1.0,1.0
elevator,157,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,157,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,157,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,157,Sampling Noise Only,1.0,1.0
elevator,157,Statevector Simulator,1.0,1.0
elevator,158,Fake Brisbane Backend,1.0,1.0
elevator,158,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,158,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,158,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,158,Sampling Noise Only,1.0,1.0
